"user_id","signup_at","trial_optin_at","trial_retention_at"
"5c161baed32d7a00110d70f2","2018-12-16 09:32:30","2018-12-16 09:36:07.802","2020-08-16 07:14:45"
"5c50e3e9d32d7a0011ea78fa","2019-01-29 23:38:17","2019-01-29 23:40:04.367","2020-08-16 22:55:24"
"5c58e931d32d7a00108c2036","2019-02-05 01:38:57","2019-02-05 03:09:08.735","2020-09-11 12:57:38"
"5c64c1a1d32d7a0011928548","2019-02-14 01:17:21","2019-02-14 14:41:55.731","2020-08-20 01:42:41"
"5d31c8d0d32d7a0010fc9520","2019-07-19 13:42:40","2019-07-19 13:43:45.209","2020-09-10 12:02:34"
"5d6734e0d32d7a00121442ed","2019-08-29 02:13:52","2019-08-29 02:15:54.838","2020-08-29 04:33:46"
"5d6d6ae9d32d7a0012e7380d","2019-09-02 19:18:01","2019-09-02 19:19:30.467","2020-08-23 16:38:18"
"5d8f1d39d32d7a00114d5c03","2019-09-28 08:43:37","2019-09-28 08:44:42.795","2020-08-20 21:11:22"
"5da35fe1d32d7a0017bb7fc8","2019-10-13 17:33:21","2019-10-13 17:34:03.57","2020-09-08 07:30:59"
"5da3ade8d32d7a001456bbd4","2019-10-13 23:06:16","2019-10-13 23:07:35.529","2020-09-06 14:55:01"
"5db45ff9d32d7a0015bb2934","2019-10-26 15:02:17","2019-10-26 15:06:34.522","2020-08-24 14:21:06"
"5df056b6d32d7a001735fdde","2019-12-11 02:38:46","2019-12-11 02:40:09.786","2020-08-23 00:34:27"
"5dfc9166d32d7a00135dae41","2019-12-20 09:16:22","2019-12-20 09:17:04.586","2020-08-27 17:21:02"
"5e240363d32d7a0014678d8f","2020-01-19 07:21:07","2020-01-19 07:21:38.989","2020-08-19 15:04:18"
"5e5199d5d32d7a00144ab4ac","2020-02-22 21:15:01","2020-02-22 21:16:38.495","2020-09-05 23:08:19"
"5e92f66fd32d7a001762926a","2020-04-12 11:07:27","2020-04-12 11:07:56.616","2020-08-18 14:11:46"
"5e9610cfd32d7a00182b4a35","2020-04-14 19:36:47","2020-04-14 19:38:33.093","2020-09-02 16:34:36"
"5eaf490fd32d7a0017fcf175","2020-05-03 22:43:27","2020-05-03 22:45:30.176","2020-08-19 05:32:16"
"5eb888d0d32d7a000eab32bf","2020-05-10 23:05:52","2020-05-10 23:06:48.88","2020-08-28 00:12:59"
"5ec3e490d32d7a0017f52801","2020-05-19 13:52:16","2020-05-19 13:54:17.69","2020-08-21 00:54:46"
"5eda4ea3d32d7a0012ea3693","2020-06-05 13:54:43","2020-06-05 13:56:57.376","2020-08-29 16:01:45"
"5edb1dc3d32d7a000ea70f62","2020-06-06 04:38:27","2020-06-06 19:11:00.59","2020-08-29 14:53:20"
"5edcf344d32d7a000e64b497","2020-06-07 14:01:40","2020-06-07 14:06:23.317","2020-09-03 18:41:40"
"5ee7535fd32d7a000f196006","2020-06-15 10:54:23","2020-06-15 10:56:13.393","2020-08-23 21:41:53"
"5eebd1aed32d7a000e5d8009","2020-06-18 20:42:22","2020-06-18 20:43:37.713","2020-08-27 20:40:25"
"5ef73336d32d7a000cf435c1","2020-06-27 11:53:26","2020-06-27 11:53:47.937","2020-09-08 00:48:11"
"5ef8a762d32d7a000c6ec29d","2020-06-28 14:21:22","2020-06-28 14:22:39.447","2020-08-17 18:19:05"
"5efaa7fbd32d7a00102cb0c3","2020-06-30 02:48:27","2020-06-30 02:48:58.288","2020-09-03 21:42:10"
"5f05266bd32d7a0015a49d71","2020-07-08 01:50:35","2020-07-08 01:51:16.821","2020-08-24 02:02:39"
"5f09c2c9d32d7a000d63d297","2020-07-11 13:46:49","2020-07-11 13:47:52.326","2020-08-28 18:44:34"
"5f0bcf6fd32d7a000d64c062","2020-07-13 03:05:19","2020-07-13 03:05:53.94","2020-09-13 00:00:25"
"5f0daeacd32d7a000dad05ce","2020-07-14 13:10:04","2020-07-14 13:11:41.057","2020-08-16 14:24:20"
"5f108a26d32d7a000c14cbc3","2020-07-16 17:11:02","2020-07-16 17:11:48.008","2020-08-31 05:03:38"
"5f119c63d32d7a001135ccd1","2020-07-17 12:41:07","2020-07-17 12:42:54.89","2020-08-27 21:47:12"
"5f1540cdd32d7a00110e910b","2020-07-20 06:59:25","2020-07-20 14:38:00.695","2020-09-03 21:25:14"
"5f16ca56d32d7a00145551ec","2020-07-21 10:58:30","2020-07-21 10:59:08.133","2020-09-09 16:38:03"
"5f17e360d32d7a000c55adf0","2020-07-22 06:57:36","2020-07-22 08:01:11.525","2020-09-13 08:28:15"
